0.01, -0.01, 0.1
0.02, -0.02, 0.2
0.02, -0.03, 0.31
0.03, -0.04, 0.4
0.03, -0.06, 0.5
0.04, -0.07, 0.61
0.04, -0.08, 0.7
0.05, -0.09, 0.8
0.05, -0.1, 0.9
0.05, -0.12, 1.0
0.06, -0.13, 1.11
0.07, -0.14, 1.21
0.07, -0.15, 1.3
0.08, -0.16, 1.4
-0.02, 0.02, 0.1
-0.04, 0.03, 0.2
-0.06, 0.04, 0.3
-0.08, 0.05, 0.4
-0.1, 0.06, 0.49
-0.12, 0.07, 0.59
-0.14, 0.08, 0.69
-0.16, 0.09, 0.79
-0.18, 0.1, 0.89
-0.2, 0.11, 0.98
-0.22, 0.13, 1.08
-0.24, 0.14, 1.18
-0.26, 0.15, 1.28
-0.28, 0.16, 1.38
0.03, 0.01, 0.1
0.06, 0.02, 0.2
0.09, 0.03, 0.29
0.12, 0.04, 0.39
0.15, 0.05, 0.48
0.18, 0.06, 0.58
0.21, 0.07, 0.68
0.24, 0.08, 0.77
0.27, 0.09, 0.87
0.29, 0.09, 0.96
0.32, 0.1, 1.06
0.35, 0.11, 1.16
0.38, 0.12, 1.25
0.41, 0.13, 1.35
-0.01, -0.02, 0.1
-0.03, -0.05, 0.19
-0.05, -0.08, 0.29
-0.06, -0.11, 0.38
-0.08, -0.14, 0.47
-0.1, -0.17, 0.57
-0.11, -0.2, 0.66
-0.13, -0.23, 0.76
-0.15, -0.26, 0.85
-0.17, -0.28, 0.94
-0.18, -0.31, 1.04
-0.2, -0.34, 1.13
-0.22, -0.37, 1.23
-0.23, -0.4, 1.32
0.0, 0.04, 0.1
-0.01, 0.08, 0.19
-0.02, 0.12, 0.28
-0.02, 0.16, 0.38
-0.03, 0.2, 0.47
-0.04, 0.24, 0.56
-0.04, 0.28, 0.66
-0.05, 0.32, 0.75
-0.06, 0.36, 0.84
-0.07, 0.39, 0.93
-0.07, 0.43, 1.03
-0.08, 0.47, 1.12
-0.09, 0.51, 1.21
-0.09, 0.55, 1.31
0.04, -0.02, 0.1
0.07, -0.05, 0.19
0.11, -0.07, 0.28
0.14, -0.1, 0.37
0.18, -0.12, 0.46
0.22, -0.15, 0.55
0.25, -0.17, 0.64
0.28, -0.2, 0.73
0.32, -0.22, 0.82
0.35, -0.25, 0.91
0.39, -0.27, 1.01
0.43, -0.3, 1.1
0.46, -0.32, 1.19
0.49, -0.35, 1.28
-0.04, 0.0, 0.09
-0.09, -0.01, 0.18
-0.13, -0.01, 0.27
-0.18, -0.02, 0.36
-0.23, -0.02, 0.45
-0.27, -0.03, 0.54
-0.32, -0.03, 0.63
-0.36, -0.04, 0.72
-0.41, -0.04, 0.81
-0.46, -0.05, 0.89
-0.5, -0.05, 0.98
-0.55, -0.06, 1.07
-0.59, -0.06, 1.16
-0.64, -0.07, 1.25
0.04, 0.04, 0.09
0.07, 0.08, 0.18
0.1, 0.12, 0.27
0.14, 0.16, 0.35
0.17, 0.19, 0.44
0.2, 0.23, 0.53
0.24, 0.27, 0.61
0.27, 0.31, 0.7
0.3, 0.35, 0.79
0.33, 0.38, 0.87
0.37, 0.42, 0.96
0.4, 0.46, 1.05
0.43, 0.5, 1.14
0.47, 0.54, 1.22
0.01, -0.05, 0.09
0.01, -0.1, 0.17
0.01, -0.15, 0.26
0.01, -0.2, 0.34
0.01, -0.26, 0.43
0.02, -0.31, 0.51
0.02, -0.36, 0.6
0.02, -0.41, 0.68
0.02, -0.46, 0.77
0.02, -0.52, 0.85
0.03, -0.57, 0.94
0.03, -0.62, 1.02
0.03, -0.67, 1.11
0.03, -0.72, 1.2
-0.03, 0.05, 0.09
-0.07, 0.09, 0.17
-0.11, 0.13, 0.26
-0.15, 0.17, 0.34
-0.19, 0.21, 0.42
-0.22, 0.25, 0.51
-0.26, 0.29, 0.59
-0.3, 0.33, 0.68
-0.34, 0.37, 0.76
-0.38, 0.41, 0.84
-0.41, 0.46, 0.93
-0.45, 0.5, 1.01
-0.49, 0.54, 1.1
-0.53, 0.58, 1.18
0.06, 0.0, 0.09
0.12, 0.0, 0.17
0.18, 0.0, 0.25
0.24, -0.01, 0.33
0.29, -0.01, 0.41
0.35, -0.01, 0.5
0.41, -0.02, 0.58
0.47, -0.02, 0.66
0.53, -0.02, 0.74
0.58, -0.03, 0.82
0.64, -0.03, 0.91
0.7, -0.03, 0.99
0.76, -0.03, 1.07
0.82, -0.04, 1.15
-0.04, -0.03, 0.09
-0.09, -0.07, 0.17
-0.14, -0.11, 0.25
-0.18, -0.14, 0.33
-0.23, -0.18, 0.4
-0.28, -0.22, 0.49
-0.32, -0.25, 0.57
-0.37, -0.29, 0.65
-0.42, -0.33, 0.73
-0.47, -0.37, 0.8
-0.51, -0.4, 0.89
-0.56, -0.44, 0.97
-0.61, -0.48, 1.04
-0.65, -0.51, 1.13
0.02, 0.07, 0.08
0.03, 0.13, 0.16
0.04, 0.19, 0.24
0.05, 0.25, 0.32
0.05, 0.31, 0.39
0.07, 0.38, 0.47
0.08, 0.44, 0.55
0.09, 0.5, 0.63
0.1, 0.56, 0.71
0.1, 0.62, 0.78
0.12, 0.69, 0.86
0.13, 0.75, 0.94
0.13, 0.81, 1.02
0.15, 0.87, 1.1
0.04, -0.05, 0.08
0.08, -0.1, 0.16
0.11, -0.16, 0.24
0.15, -0.21, 0.31
0.18, -0.27, 0.39
0.22, -0.32, 0.47
0.26, -0.37, 0.54
0.29, -0.43, 0.62
0.33, -0.48, 0.7
0.36, -0.54, 0.77
0.4, -0.59, 0.85
0.44, -0.64, 0.93
0.47, -0.7, 1.01
0.51, -0.75, 1.08
-0.06, 0.02, 0.08
-0.12, 0.04, 0.16
-0.19, 0.06, 0.23
-0.25, 0.07, 0.31
-0.32, 0.09, 0.38
-0.38, 0.11, 0.46
-0.44, 0.12, 0.53
-0.51, 0.14, 0.61
-0.57, 0.16, 0.68
-0.64, 0.17, 0.75
-0.7, 0.19, 0.83
-0.76, 0.21, 0.91
-0.83, 0.23, 0.98
-0.89, 0.24, 1.05
0.07, 0.04, 0.08
0.13, 0.07, 0.15
0.19, 0.1, 0.22
0.25, 0.14, 0.3
0.31, 0.17, 0.37
0.37, 0.2, 0.44
0.43, 0.24, 0.52
0.49, 0.27, 0.59
0.55, 0.3, 0.66
0.61, 0.33, 0.73
0.68, 0.37, 0.81
0.74, 0.4, 0.88
0.8, 0.43, 0.95
0.86, 0.47, 1.03
-0.02, -0.06, 0.08
-0.04, -0.13, 0.15
-0.06, -0.19, 0.22
-0.08, -0.26, 0.29
-0.11, -0.33, 0.36
-0.13, -0.39, 0.43
-0.15, -0.46, 0.5
-0.17, -0.52, 0.57
-0.19, -0.59, 0.64
-0.22, -0.66, 0.71
-0.24, -0.72, 0.79
-0.26, -0.79, 0.86
-0.28, -0.85, 0.93
-0.3, -0.92, 1.0
-0.02, 0.07, 0.07
-0.05, 0.14, 0.14
-0.08, 0.21, 0.22
-0.11, 0.27, 0.28
-0.14, 0.34, 0.35
-0.16, 0.41, 0.43
-0.19, 0.47, 0.49
-0.22, 0.54, 0.56
-0.25, 0.61, 0.63
-0.28, 0.67, 0.7
